# Response Point
# Name,P1 - Initial Shear Modulus Mu (Pa),P2 - Incompressibility Parameter D1 (MPa^-1),P3 - Directional Deformation Minimum (mm),P5 - Force Reaction Minimum Z Axis (N),P8 - Directional Deformation Minimum (mm),P9 - Force Reaction Minimum Z Axis (N)
Name,P1,P2,P3,P5,P8,P9
Response Point,20060.5,84.5,-3.9680765879128574,-0.42182163011171303,-1.9686648843961807,-0.14044148356445241

# Response Chart for P5 - Force Reaction Minimum Z Axis
# P1 - Initial Shear Modulus Mu (Pa),P2 - Incompressibility Parameter D1 (MPa^-1),P5 - Force Reaction Minimum Z Axis (N)
P1,P2,P5
17276.416666666668,28.833333333333332,-0.41209688394804689
18668.458333333336,28.833333333333332,-0.44939764563865248
20060.5,28.833333333333332,-0.48753018189732777
21452.541666666668,28.833333333333332,-0.5254402384261081
22844.583333333336,28.833333333333332,-0.560585166373838
24236.625,28.833333333333332,-0.59521056240841874
25628.666666666668,28.833333333333332,-0.62951565454941671
27020.708333333336,28.833333333333332,-0.66327204413055973
28412.75,28.833333333333332,-0.69614331910508365
29804.791666666668,28.833333333333332,-0.72773700537169417
31196.833333333336,28.833333333333332,-0.75762094494368837
32588.875,28.833333333333332,-0.78532986966804685
33980.916666666672,28.833333333333332,-0.8103683000101608
35372.958333333336,28.833333333333332,-0.83221174725575287
36765,28.833333333333332,-0.85030696764925462
3356,35.791666666666664,-0.09093824270555155
