Def 	$Force$
1.186	0.0759
1.186	0.0819
1.194	0.0839
1.196	0.0839
1.196	0.0719
1.198	0.0819
1.204	0.0879
1.206	0.0759
1.206	0.0739
1.208	0.0739
1.214	0.0719
1.216	0.0859
1.216	0.0799
1.224	0.0799
1.226	0.0739
1.226	0.0839
1.228	0.0719
1.234	0.0759
1.236	0.0739
1.236	0.0719
1.238	0.0839
1.244	0.0879
1.246	0.0819
1.246	0.0839
1.248	0.0959
1.256	0.0899
1.256	0.0839
1.256	0.0819
1.26	0.0799
1.266	0.0919
1.266	0.0999
1.266	0.0819
1.274	0.0819
1.276	0.0919
1.276	0.0839
1.278	0.0779
1.284	0.0779
1.286	0.0779
1.286	0.0939
1.288	0.0999
1.294	0.0779
1.296	0.0719
1.296	0.0879
1.3	0.0939
1.306	0.0859
1.306	0.0899
1.306	0.0899
1.314	0.0979
1.316	0.1079
1.316	0.0939
1.318	0.0919
1.324	0.1079
1.326	0.1139
1.326	0.0999
1.33	0.1019
1.334	0.0959
1.336	0.0899
1.336	0.0999
1.34	0.0999
1.346	0.0859
1.346	0.0999
1.346	0.1039
1.354	0.0999
1.356	0.1039
1.356	0.1019
1.36	0.0999
1.364	0.1099
1.366	0.1059
1.366	0.1059
1.372	0.1179
1.374	0.1119
1.376	0.1139
1.376	0.1079
1.384	0.0999
1.384	0.1019
1.386	0.1139
1.386	0.1119
1.394	0.1079
1.394	0.1139
1.396	0.1159
1.4	0.1099
1.404	0.1179
1.406	0.1099
1.406	0.1099
1.412	0.1299
1.414	0.1259
1.416	0.1179
1.42	0.1099
1.424	0.1119
1.424	0.1179
1.43	0.1079
1.43	0.1139
1.434	0.1079
1.436	0.1039
1.44	0.1079
1.442	0.1019
1.444	0.0999
1.446	0.0999
1.45	0.1079
1.452	0.1059
1.454	0.1079
1.456	0.1059
1.46	0.0999
1.464	0.1059
1.464	0.1059
1.466	0.1039
1.47	0.1079
1.474	0.1219
1.474	0.1199
1.48	0.1179
1.48	0.1099
1.484	0.1079
1.486	0.1119
1.49	0.1239
1.492	0.1199
1.494	0.1199
1.496	0.1279
1.5	0.1199
1.502	0.1139
1.504	0.1099
1.506	0.1079
1.51	0.1199
1.514	0.1239
1.514	0.1279
1.52	0.1179
1.52	0.1239
1.524	0.1199
1.526	0.1139
1.53	0.1159
1.532	0.1099
1.534	0.1179
1.536	0.1199
1.54	0.1199
1.544	0.1179
1.544	0.1259
1.55	0.1159
1.55	0.1139
1.554	0.1279
1.558	0.1139
1.56	0.1199
1.56	0.1339
1.564	0.1259
1.568	0.1239
1.57	0.1239
1.572	0.1059
1.574	0.1179
1.58	0.1279
1.58	0.1239
1.584	0.1239
1.584	0.1199
1.59	0.1239
1.592	0.1219
1.594	0.1179
1.598	0.1099
1.6	0.1239
1.602	0.1339
1.604	0.1199
1.608	0.1219
1.61	0.1199
1.614	0.1219
1.614	0.1259
1.62	0.1179
1.622	0.1159
1.624	0.1299
1.624	0.1319
1.63	0.1199
1.632	0.1119
1.634	0.1159
1.638	0.1299
1.64	0.1299
1.642	0.1279
1.644	0.1279
1.648	0.1199
1.65	0.1259
1.652	0.1239
1.654	0.1119
1.66	0.1279
1.66	0.1299
1.664	0.1339
1.664	0.1279
1.67	0.1319
1.672	0.1179
1.674	0.1279
1.674	0.1379
1.68	0.1279
1.682	0.1379
1.684	0.1459
1.688	0.1359
1.69	0.1399
1.692	0.1339
1.694	0.1299
1.698	0.1379
1.7	0.1479
1.704	0.1379
1.704	0.1459
1.71	0.1519
1.712	0.1379
1.714	0.1399
1.718	0.1459
1.72	0.1299
1.722	0.1319
1.724	0.1399
1.728	0.1419
1.73	0.1299
1.734	0.1379
1.734	0.1319
1.738	0.1279
1.742	0.1359
1.744	0.1279
1.748	0.1419
1.75	0.1359
1.754	0.1259
1.758	0.1319
1.758	0.1339
1.76	0.1339
1.764	0.1299
1.768	0.1319
1.768	0.1359
1.772	0.1399
1.774	0.1399
1.778	0.1299
1.778	0.1319
1.784	0.1419
1.784	0.1479
1.788	0.1499
1.792	0.1439
1.794	0.1419
1.798	0.1459
1.798	0.1479
1.802	0.1439
1.804	0.1419
1.808	0.1559
1.808	0.1599
1.812	0.1559
1.814	0.1519
1.818	0.1439
1.82	0.1499
1.824	0.1559
1.824	0.1559
1.828	0.1599
1.832	0.1599
1.834	0.1599
1.834	0.1539
1.838	0.1539
1.842	0.1539
1.844	0.1519
1.848	0.1639
1.848	0.1539
1.852	0.1479
1.854	0.1499
1.858	0.1479
1.858	0.1499
1.862	0.1579
1.864	0.1519
1.868	0.1579
1.87	0.1619
1.874	0.1579
1.874	0.1519
1.878	0.1559
1.882	0.1479
1.884	0.1599
1.888	0.1619
1.888	0.1539
1.892	0.1499
1.894	0.1539
1.898	0.1499
1.9	0.1479
1.902	0.1519
1.904	0.1559
1.91	0.1639
1.91	0.1619
1.914	0.1619
1.918	0.1539
1.92	0.1599
1.922	0.1699
1.924	0.1539
1.928	0.1519
1.93	0.1479
1.932	0.1499
1.934	0.1539
1.94	0.1559
1.94	0.1479
1.944	0.1479
1.944	0.1579
1.95	0.1559
1.952	0.1459
1.954	0.1579
1.954	0.1639
1.96	0.1719
1.962	0.1679
1.964	0.1599
1.968	0.1639
1.97	0.1739
1.972	0.1659
1.974	0.1599
1.978	0.1599
1.98	0.1659
1.982	0.1719
1.984	0.1659
1.99	0.1599
1.994	0.1699
2	0.1659
2	0.1699
2.004	0.1719
2.008	0.1739
2.01	0.1659
2.012	0.1699
2.016	0.1779
2.02	0.1759
2.022	0.1679
2.024	0.1639
2.03	0.1579
2.03	0.1599
2.034	0.1619
2.034	0.1639
2.04	0.1579
2.042	0.1659
2.044	0.1659
2.044	0.1559
2.05	0.1599
2.052	0.1619
2.054	0.1639
2.058	0.1719
2.06	0.1759
2.062	0.1679
2.064	0.1679
2.07	0.1819
2.07	0.1739
2.074	0.1759
2.074	0.1739
2.08	0.1779
2.082	0.1799
2.084	0.1839
2.084	0.1719
2.09	0.1759
2.092	0.1879
2.094	0.1779
2.098	0.1739
2.1	0.1759
2.102	0.1799
2.104	0.1959
2.11	0.1899
2.11	0.1839
2.114	0.1839
2.118	0.1939
2.12	0.1959
2.122	0.1859
2.124	0.1919
2.128	0.1879
2.13	0.2019
2.132	0.1979
